Month-year,CommodityID,Production weight (in million tonnes),Labour_availability,Govt_policy_change,Demand,Cost of production,Climatic factor 1,Climatic factor 2,Maximum price per kg,Minimum support price (in Rs./Quintal)
2020-06-01,CD117,42.65,Moderate,No,Low,68577.0,0,1,4407.0,6144
2013-10-01,CD71,93.96,Abundant,Yes,Short-run,12263.0,0,1,291.0,6564
2017-01-01,CD101,49.28,Moderate,No,Long-run,34924.0,0,1,1973.0,2440
2016-07-01,CD132,61.08,Moderate,No,Long-run,92940.0,1,0,782.0,1546
2014-04-01,CD76,49.91,Low,No,Very-low,64748.0,1,0,1713.0,8749
2016-04-01,CD138,11.44,Abundant,No,High,89179.0,0,1,3963.0,3060
2013-06-01,CD132,11.98,Abundant,Yes,Short-run,54945.0,0,1,1157.0,6925
2018-11-01,CD9,42.31,Moderate,Yes,Low,28785.0,1,0,5263.0,2202
2012-07-01,CD107,82.2,Low,Yes,Low,21092.0,1,1,862.0,1640
2019-10-01,CD8,73.36,Abundant,No,Low,89143.0,1,1,1811.0,2063
2018-10-01,CD58,68.67,Low,Yes,Very-low,80725.0,1,1,2108.0,3339
2015-08-01,CD140,72.52,Abundant,Yes,Low,25873.0,0,1,2997.0,2993
2016-01-01,CD37,40.13,Abundant,No,High,77923.0,1,1,3093.0,3119
2017-04-01,CD62,21.92,Moderate,Yes,Very-low,32418.0,0,1,4495.0,6601
2012-07-01,CD37,27.47,Low,Yes,Very-low,81458.0,0,1,321.0,5848
2015-02-01,CD95,89.46,Low,No,Very-low,58431.0,1,1,4501.0,3979
2013-06-01,CD15,48.08,Low,No,Very-low,33146.0,0,1,1707.0,6947
2018-01-01,CD99,20.03,Moderate,Yes,Long-run,2722.0,0,0,4453.0,1644
2016-07-01,CD12,82.06,Moderate,Yes,Very-low,15089.0,0,0,5360.0,1725
2018-09-01,CD73,77.39,Abundant,No,Very-low,9118.0,0,0,462.0,4803
2013-09-01,CD29,9.6,Moderate,Yes,High,81919.0,0,0,954.0,4039
2018-03-01,CD7,82.58,Moderate,No,High,22222.0,1,1,3314.0,6808
2017-09-01,CD98,51.59,Low,No,Very-low,76512.0,1,1,4540.0,7387
2020-10-01,CD57,51.35,Moderate,Yes,Low,34371.0,1,0,4499.0,5823
2015-12-01,CD80,67.06,Low,No,High,67706.0,1,1,1853.0,3282
2018-08-01,CD43,86.95,Moderate,No,Short-run,40896.0,1,0,967.0,5108
2016-10-01,CD12,38.03,Low,No,Short-run,76227.0,1,0,924.0,2665
2012-01-01,CD7,33.29,Moderate,No,Short-run,77746.0,0,1,3779.0,6507
2014-01-01,CD130,85.55,Low,Yes,Very-low,894.0,1,1,3427.0,6687
2016-03-01,CD59,68.28,Low,Yes,High,15267.0,0,0,408.0,2106
2013-08-01,CD32,20.33,Low,No,Low,85171.0,0,0,1384.0,7863
2012-03-01,CD131,68.58,Abundant,No,High,89662.0,0,0,2756.0,1554
2014-09-01,CD70,60.73,Abundant,Yes,Short-run,86242.0,0,1,260.0,8982
2016-11-01,CD77,61.61,Abundant,No,Very-low,71687.0,0,0,1530.0,8207
2018-02-01,CD56,18.46,Abundant,No,Very-low,48486.0,0,0,1982.0,6276
2017-03-01,CD70,14.65,Low,No,Long-run,33066.0,0,0,4315.0,5141
2014-12-01,CD36,54.05,Abundant,No,High,37400.0,0,1,4256.0,5630
2014-09-01,CD129,64.99,Low,Yes,Long-run,91363.0,1,1,2570.0,3489
2012-07-01,CD112,84.9,Moderate,Yes,Low,1300.0,0,0,5377.0,2290
2020-01-01,CD108,68.35,Moderate,No,Very-low,31293.0,1,1,4533.0,7947
2019-08-01,CD119,33.93,Low,Yes,Long-run,25383.0,1,1,2268.0,5582
2017-03-01,CD107,54.36,Low,No,Very-low,32491.0,0,1,1070.0,8252
2015-07-01,CD3,46.12,Abundant,No,Very-low,65171.0,0,0,4734.0,4252
2013-02-01,CD29,50.94,Low,Yes,Long-run,78719.0,1,1,773.0,6125
2018-04-01,CD111,50.19,Moderate,Yes,Very-low,76502.0,0,0,168.0,4934
2020-05-01,CD103,57.48,Moderate,No,High,6626.0,0,1,4944.0,5902
2013-04-01,CD11,50.67,Abundant,No,Long-run,8921.0,0,0,3209.0,4869
2014-05-01,CD27,5.3,Low,Yes,Very-low,71618.0,1,1,2551.0,5001
2019-04-01,CD67,79.55,Low,Yes,Short-run,63415.0,1,1,4802.0,2684
2012-11-01,CD116,67.45,Moderate,Yes,High,65104.0,0,1,1586.0,2458
2015-11-01,CD66,40.07,Abundant,No,Very-low,14197.0,1,0,3107.0,5092
2012-12-01,CD124,12.13,Moderate,Yes,High,61166.0,0,0,4289.0,6621
2013-10-01,CD88,26.27,Moderate,No,High,92435.0,1,0,1195.0,8698
2015-12-01,CD92,92.39,Moderate,Yes,Short-run,63426.0,0,0,4342.0,7211
2014-03-01,CD100,25.97,Moderate,Yes,Long-run,28218.0,1,1,2472.0,8148
2020-03-01,CD63,26.33,Abundant,Yes,Short-run,69945.0,0,0,1344.0,5171
2018-04-01,CD69,8.32,Abundant,No,Very-low,55125.0,0,0,1980.0,4047
2013-11-01,CD79,93.88,Moderate,No,Low,11527.0,1,1,3849.0,3823
2014-11-01,CD51,34.97,Moderate,Yes,Long-run,8723.0,0,1,448.0,2277
2012-05-01,CD75,6.02,Abundant,No,High,56445.0,0,0,4011.0,4492
2020-09-01,CD128,31.45,Abundant,No,Short-run,78225.0,0,0,3972.0,3407
2012-12-01,CD9,39.7,Low,Yes,High,49525.0,0,0,2582.0,7283
2012-05-01,CD30,58.87,Abundant,No,Very-low,21364.0,0,0,3664.0,3171
2020-11-01,CD74,17.3,Moderate,Yes,Short-run,78297.0,1,0,939.0,2001
2016-06-01,CD55,98.89,Low,No,Very-low,11984.0,0,1,1005.0,3098
2017-04-01,CD31,87.25,Abundant,Yes,Short-run,41166.0,1,0,4589.0,2008
2018-08-01,CD97,45.66,Low,Yes,Very-low,1799.0,0,1,4595.0,5955
2016-11-01,CD47,3.63,Moderate,No,Very-low,52588.0,1,0,937.0,6273
2017-11-01,CD76,43.73,Abundant,Yes,Short-run,28941.0,1,1,2054.0,6818
2020-10-01,CD141,69.96,Moderate,No,Low,14186.0,1,1,5274.0,3903
2013-01-01,CD89,89.34,Abundant,No,Very-low,84798.0,1,1,4396.0,8620
2020-04-01,CD142,17.81,Abundant,Yes,Very-low,72197.0,1,0,4284.0,1530
2012-07-01,CD62,79.94,Abundant,No,High,6000.0,1,1,321.0,5829
2018-07-01,CD65,42.61,Abundant,Yes,Long-run,32554.0,1,1,4064.0,6663
2019-04-01,CD107,7.03,Abundant,No,Short-run,76912.0,1,1,1233.0,3031
2018-07-01,CD57,16.41,Abundant,No,Very-low,796.0,1,0,2158.0,6421
2015-09-01,CD3,47.51,Moderate,Yes,Very-low,31635.0,1,1,986.0,2142
