CommodityID,Month-year,Wholesale Price Index,Inflation (CPI) %
CD82,2017-11-01,134.2,0.45
CD11,2017-02-01,129.7,0.45
CD42,2015-06-01,93.3,0.45
CD11,2020-01-01,128.1,0.42
CD31,2017-10-01,137.3,1.18
CD45,2012-10-01,114.0,0.02
CD80,2015-01-01,109.8,0.63
CD110,2014-06-01,152.5,1.25
CD72,2015-13-01,151.2,1.57
CD40,2015-08-01,102.5,1.17
CD34,2013-02-01,145.0,0.22
CD85,2020-06-01,134.6,0.22
CD41,2012-11-01,146.9,1.54
CD139,2015-02-01,96.0,0.81
CD19,2017-05-01,158.2,0.87
CD108,2019-02-01,126.1,0.4
CD123,2012-07-01,94.5,1.41
CD85,2017-09-01,98.3,0.86
CD117,2018-02-01,100.2,0.36
CD16,2016-06-01,101.7,0.78
CD38,2019-09-01,115.7,1.49
CD86,2015-09-01,108.8,0.94
CD116,2019-08-01,94.2,0.43
CD119,2020-09-01,136.9,0.96
CD6,2019-02-01,144.7,0.1
CD107,2015-13-01,160.1,0.03
CD92,2017-13-01,122.7,1.31
CD24,2014-11-01,134.3,0.87
CD41,2019-13-01,121.0,0.05
CD41,2019-06-01,141.0,0.38
CD29,2018-13-01,132.8,0.19
CD108,2015-08-01,99.1,0.51
CD57,2017-12-01,99.7,0.46
CD51,2015-13-01,116.6,1.52
CD142,2018-07-01,147.9,0.56
CD33,2015-04-01,126.9,1.65
CD120,2018-09-01,104.7,1.64
CD109,2014-09-01,153.1,1.47
CD15,2012-11-01,97.5,1.45
CD131,2014-12-01,107.9,0.99
CD118,2018-12-01,105.7,0.28
CD84,2018-02-01,145.0,1.17
CD52,2020-02-01,122.1,1.79
CD68,2016-11-01,108.6,0.68
CD39,2012-06-01,159.5,1.07
CD100,2015-05-01,128.3,1.44
CD58,2018-06-01,116.6,1.72
CD52,2020-11-01,130.1,0.47
CD96,2020-10-01,143.2,1.56
CD3,2015-06-01,98.4,1.73
CD82,2015-01-01,155.2,1.99
CD91,2012-12-01,123.3,1.4
CD118,2017-09-01,151.2,0.94
CD90,2014-10-01,145.2,0.97
CD3,2020-06-01,107.9,1.36
CD111,2012-12-01,140.7,1.8
CD138,2012-09-01,153.4,0.62
CD65,2016-02-01,142.6,1.16
CD55,2017-12-01,154.2,1.58
CD25,2015-10-01,98.9,0.98
CD22,2016-02-01,144.5,1.92
CD9,2018-10-01,122.2,0.5
CD18,2012-09-01,154.8,1.01
CD42,2018-13-01,130.6,0.29
CD59,2019-04-01,144.8,0.64
CD67,2015-01-01,95.5,0.75
CD67,2019-11-01,105.0,1.88
CD4,2015-05-01,140.2,0.24
CD75,2015-08-01,153.7,0.39
CD23,2019-10-01,107.0,0.86
CD18,2019-11-01,132.1,1.54
CD35,2018-11-01,106.4,0.99
CD123,2015-08-01,148.0,0.75
CD5,2012-13-01,133.4,1.39
CD122,2016-08-01,136.3,1.97
CD130,2016-01-01,158.0,0.91
CD60,2012-12-01,150.9,1.44
CD55,2014-13-01,134.3,0.03
CD33,2014-10-01,138.8,0.47
CD30,2020-06-01,142.3,1.82
CD47,2014-12-01,120.0,0.59
CD43,2018-08-01,140.8,0.14
CD96,2017-04-01,128.8,1.95
CD48,2015-04-01,139.2,0.32
CD37,2016-02-01,120.7,0.44
CD29,2017-06-01,128.8,1.76
CD9,2014-08-01,154.2,1.39
CD121,2014-09-01,120.2,1.39
CD38,2014-06-01,111.3,0.52
CD100,2018-08-01,119.7,1.78
CD80,2018-05-01,130.9,0.93
CD78,2018-10-01,93.4,1.4
CD57,2019-02-01,113.0,0.63
CD113,2015-06-01,136.9,1.3
CD100,2016-10-01,141.3,1.05
CD38,2020-01-01,122.8,0.57
CD53,2015-02-01,118.3,1.68
CD70,2015-02-01,157.8,0.66
CD22,2016-09-01,150.1,0.65
CD16,2017-07-01,160.6,1.84
CD137,2020-12-01,123.4,1.73
CD14,2019-08-01,95.3,1.66
CD99,2016-11-01,112.5,1.61
CD57,2019-08-01,107.2,0.13
CD26,2014-09-01,121.9,1.25
CD138,2018-05-01,125.4,0.33
CD65,2019-07-01,91.1,0.96
CD21,2012-08-01,94.6,0.47
CD28,2017-12-01,90.9,0.85
CD41,2017-08-01,110.6,1.09
CD35,2014-11-01,132.2,1.87
CD64,2020-12-01,130.9,0.9
CD113,2019-12-01,138.1,0.99
CD77,2019-04-01,107.8,0.77
CD122,2019-07-01,155.4,0.81
CD62,2015-02-01,131.2,1.81
CD71,2019-07-01,129.0,1.14
CD110,2020-09-01,152.1,1.5
CD37,2016-10-01,138.5,1.3
CD92,2014-13-01,150.1,1.29
CD132,2012-06-01,111.7,1.54
CD132,2016-13-01,119.9,0.08
CD25,2017-11-01,124.4,0.28
CD9,2018-08-01,107.7,1.85
CD85,2020-07-01,137.5,1.13
CD35,2020-11-01,132.7,1.64
CD130,2014-11-01,132.3,0.09
CD141,2012-05-01,92.2,1.85
CD71,2012-05-01,91.0,0.91
CD55,2018-12-01,138.9,0.24
CD41,2020-12-01,91.4,0.49
CD49,2016-11-01,99.8,1.32
CD84,2016-13-01,142.4,1.27
CD128,2016-05-01,126.8,0.68
CD26,2012-11-01,102.9,0.71
CD27,2020-05-01,137.1,0.08
CD69,2015-13-01,113.5,1.29
CD4,2015-13-01,112.0,0.97
CD51,2017-10-01,113.4,1.18
CD104,2020-02-01,135.5,1.98
CD48,2015-12-01,161.4,0.1
CD85,2014-06-01,129.1,0.73
CD105,2012-06-01,95.2,1.41
CD127,2016-02-01,136.3,1.41
CD48,2016-08-01,134.0,1.4
CD61,2020-06-01,161.1,0.54
CD99,2019-09-01,138.9,1.21
CD129,2016-01-01,158.1,1.0
CD127,2017-09-01,147.8,0.73
CD138,2016-05-01,128.7,0.44
CD12,2015-02-01,140.7,0.09
CD137,2014-07-01,132.7,1.65
CD2,2018-12-01,140.8,1.57
CD92,2012-08-01,140.8,0.63
CD140,2017-01-01,151.6,1.51
CD24,2012-13-01,101.8,1.38
CD75,2017-01-01,132.3,1.03
CD71,2015-13-01,131.6,0.19
CD76,2015-05-01,104.0,0.25
CD108,2016-12-01,105.1,1.95
CD18,2016-10-01,101.8,1.3
CD110,2015-13-01,126.4,0.3
CD100,2016-12-01,152.6,0.08
CD72,2020-11-01,99.8,1.36
CD100,2015-04-01,97.7,1.66
CD34,2013-01-01,119.7,0.11
CD79,2018-04-01,104.7,1.56
CD126,2012-13-01,133.9,0.21
CD93,2020-07-01,157.9,1.24
CD77,2014-11-01,94.5,1.74
CD27,2020-05-01,136.9,0.84
CD56,2020-12-01,154.9,0.26
CD69,2018-11-01,139.9,0.37
CD113,2012-05-01,98.2,0.99
CD58,2017-10-01,137.9,0.64
CD60,2013-02-01,159.4,0.26
CD128,2015-11-01,154.0,1.77
CD76,2012-10-01,126.2,0.16
CD139,2016-13-01,90.8,0.18
CD113,2015-13-01,146.8,1.48
CD62,2020-09-01,111.3,1.65
CD95,2014-02-01,160.7,1.72
CD114,2018-05-01,133.3,1.63
CD33,2019-09-01,130.3,1.78
CD141,2019-09-01,137.2,1.31
CD94,2019-01-01,144.3,0.41
CD118,2012-08-01,128.0,1.33
CD119,2013-02-01,127.8,1.18
CD50,2016-06-01,116.3,0.76
CD81,2016-13-01,128.0,1.83
CD22,2017-12-01,117.2,0.46
CD89,2016-07-01,122.0,1.76
CD125,2014-10-01,123.3,0.44
CD93,2017-12-01,103.4,0.31
CD51,2018-11-01,153.0,0.64
CD117,2015-13-01,146.5,0.32
CD23,2016-13-01,143.8,0.87
CD125,2016-07-01,148.4,1.76
CD75,2019-11-01,146.7,1.94
CD100,2014-01-01,102.2,1.38
CD33,2017-05-01,124.0,1.18
CD56,2019-02-01,144.8,0.71
CD136,2019-04-01,133.9,1.51
CD119,2016-01-01,141.9,0.45
CD119,2018-02-01,145.5,1.12
CD134,2016-06-01,151.8,0.38
CD58,2020-09-01,110.3,0.53
CD120,2015-12-01,106.6,0.27
CD136,2012-06-01,134.7,1.84
CD112,2016-01-01,138.8,1.69
CD103,2019-04-01,157.6,1.08
CD114,2019-01-01,153.8,0.79
CD4,2016-13-01,97.5,1.49
CD142,2012-10-01,124.7,0.34
CD103,2015-08-01,112.9,1.63
CD32,2020-07-01,117.9,0.89
CD109,2019-13-01,145.2,1.24
CD88,2012-06-01,124.4,0.14
CD100,2017-06-01,120.5,1.28
CD101,2017-06-01,122.4,0.24
CD10,2018-13-01,92.8,1.8
CD94,2013-02-01,97.0,0.89
CD48,2015-05-01,115.1,1.69
CD93,2019-12-01,134.5,0.83
CD133,2017-08-01,157.6,1.02
CD113,2015-01-01,141.6,1.79
CD4,2015-05-01,138.1,0.53
CD40,2017-01-01,129.0,1.03
CD112,2020-11-01,117.2,1.37
CD100,2018-07-01,136.2,0.61
CD8,2017-05-01,101.2,0.49
CD13,2012-09-01,120.9,0.69
CD23,2016-02-01,144.1,1.93
CD82,2020-01-01,110.2,0.32
CD14,2012-04-01,117.2,0.28
CD103,2012-06-01,127.5,0.89
CD57,2019-13-01,116.0,1.36
CD138,2015-10-01,91.4,0.55
CD55,2017-11-01,116.9,1.43
CD70,2012-11-01,137.7,0.67
CD75,2018-02-01,123.8,0.77
CD131,2015-11-01,131.5,1.09
CD66,2019-10-01,154.4,1.95
CD122,2016-07-01,117.8,1.09
CD69,2014-10-01,149.0,0.81
CD32,2016-08-01,150.9,1.11
CD44,2012-10-01,137.4,1.34
CD55,2018-05-01,102.5,0.8
CD17,2012-05-01,112.0,1.33
CD34,2019-07-01,150.0,1.42
CD120,2012-10-01,129.1,0.84
CD43,2012-06-01,117.8,1.0
CD52,2019-02-01,92.2,0.85
CD71,2020-11-01,121.3,0.55
CD116,2016-12-01,152.5,1.8
CD64,2014-04-01,159.3,0.58
CD115,2019-11-01,147.3,1.01
CD139,2015-05-01,137.2,1.44
CD99,2015-09-01,148.1,1.1
CD98,2014-08-01,100.3,1.05
CD134,2017-02-01,139.7,0.61
CD95,2012-09-01,126.0,1.64
CD95,2016-09-01,111.3,0.42
CD10,2014-07-01,139.6,1.33
CD77,2014-05-01,161.2,0.66
CD66,2015-11-01,120.9,0.79
CD16,2016-06-01,141.0,1.32
CD139,2015-04-01,113.5,1.83
CD100,2015-11-01,132.3,1.98
CD39,2013-02-01,150.3,1.27
CD109,2018-11-01,92.5,1.58
CD6,2017-06-01,159.4,0.7
CD91,2018-06-01,105.3,0.86
CD81,2015-04-01,148.8,1.65
CD99,2015-10-01,139.6,1.8
CD79,2017-09-01,117.4,0.83
CD79,2016-02-01,155.7,1.96
CD76,2012-11-01,133.2,1.42
CD10,2014-10-01,156.5,0.09
CD135,2014-01-01,144.5,0.5
CD58,2017-08-01,136.5,0.99
CD82,2020-01-01,103.4,0.17
CD108,2016-04-01,109.6,0.73
CD30,2015-13-01,124.9,0.1
CD8,2020-10-01,126.0,0.4
CD18,2014-09-01,150.3,1.0
CD37,2015-02-01,146.0,0.75
CD141,2015-01-01,160.6,1.01
CD9,2015-06-01,110.3,1.72
CD52,2020-04-01,134.1,0.15
CD121,2012-06-01,98.4,1.67
CD5,2020-07-01,135.0,1.03
CD33,2017-02-01,135.9,0.5
CD63,2015-01-01,138.2,1.73
CD69,2013-02-01,93.9,1.41
CD28,2019-07-01,107.6,0.02
CD81,2012-12-01,94.5,0.74
CD25,2016-07-01,140.1,1.86
CD80,2017-10-01,149.2,0.07
CD90,2014-07-01,114.3,1.32
CD76,2012-05-01,92.2,0.47
CD90,2018-04-01,155.0,1.0
CD19,2019-13-01,92.4,0.46
CD96,2019-12-01,158.1,1.88
CD33,2020-12-01,144.4,1.93
CD115,2018-11-01,100.5,0.04
CD94,2019-04-01,150.3,1.11
CD76,2016-08-01,95.7,0.8
CD14,2015-10-01,133.3,0.75
CD122,2015-09-01,106.1,0.21
CD132,2014-01-01,142.1,1.15
CD51,2016-04-01,130.1,0.4
CD136,2012-12-01,98.4,1.36
CD49,2013-02-01,96.0,1.69
CD56,2016-13-01,139.1,0.95
CD36,2013-01-01,101.4,1.09
CD56,2015-12-01,90.8,0.09
CD76,2016-12-01,122.8,1.68
CD42,2016-13-01,112.9,0.62
CD110,2014-07-01,96.6,0.3
CD8,2015-05-01,154.6,0.26
CD39,2012-13-01,93.0,0.15
CD139,2019-12-01,160.1,1.9
CD101,2013-02-01,111.8,1.86
CD32,2017-05-01,128.8,1.87
CD91,2019-09-01,144.3,1.2
CD29,2014-11-01,145.5,1.79
CD133,2017-02-01,156.2,0.73
CD1,2017-04-01,99.9,0.59
CD10,2020-12-01,95.5,1.0
CD131,2017-13-01,129.4,0.53
CD7,2020-07-01,122.9,1.97
CD56,2014-09-01,144.6,0.32
CD11,2012-07-01,159.4,1.8
CD60,2018-01-01,155.0,0.86
CD2,2014-09-01,134.8,1.64
CD36,2020-07-01,158.7,1.79
CD75,2012-10-01,134.9,0.27
CD41,2017-01-01,118.6,1.32
CD11,2016-02-01,108.3,1.88
CD46,2016-06-01,125.4,0.1
CD64,2017-09-01,154.2,1.11
CD66,2017-12-01,121.2,1.76
CD8,2019-01-01,101.4,1.8
CD88,2015-07-01,111.3,1.39
CD22,2014-12-01,99.3,1.68
CD92,2017-02-01,102.0,1.29
CD124,2015-08-01,118.1,1.21
CD106,2016-11-01,122.3,1.83
CD106,2015-02-01,112.6,1.07
CD124,2019-04-01,96.9,0.03
CD100,2018-06-01,129.1,1.54
CD36,2015-08-01,160.2,0.72
CD83,2016-04-01,144.3,1.22
CD87,2020-04-01,121.3,1.01
CD135,2019-04-01,104.0,0.08
CD88,2019-07-01,125.7,1.9
CD14,2019-07-01,129.4,1.74
CD131,2018-10-01,122.1,1.7
CD35,2015-12-01,100.2,0.39
CD19,2018-04-01,147.1,1.4
CD34,2017-13-01,145.6,0.44
CD6,2017-02-01,133.6,0.92
CD120,2019-04-01,156.8,1.47
CD74,2020-05-01,154.3,1.93
CD8,2020-07-01,137.1,1.42
CD84,2017-12-01,101.6,1.5
CD18,2015-12-01,94.5,1.48
CD34,2016-08-01,162.0,1.29
CD139,2017-04-01,160.6,0.31
CD5,2014-11-01,119.8,1.81
CD78,2020-01-01,108.5,1.64
CD134,2018-05-01,112.5,1.4
CD38,2014-13-01,149.6,1.35
CD68,2018-10-01,125.2,1.15
CD137,2016-06-01,117.1,0.13
CD103,2020-12-01,152.8,0.59
CD57,2016-13-01,139.1,1.1
CD86,2019-09-01,102.7,1.3
CD100,2019-06-01,98.9,0.07
CD9,2017-02-01,152.4,0.56
CD32,2016-01-01,96.5,1.85
